a_opt,u_opt,stress_meas,strength_meas,SCF_meas
no_action,0.0002969999999999917,,417.97296582616633,2.841446230513806
no_action,0.0,,402.47633030417353,1.0
no_action,1.7000000000044757e-5,,410.15338300684635,2.1414477372105467
no_action,0.00048199999999998244,,422.7819209952706,2.973416109438701
replace,0.08500000089406967,,414.53760303703467,6.850542385165653
no_action,1.7000000000044757e-5,,419.05673994524386,2.1691021512207205
replace,0.08500000089406967,,437.775367987039,6.27706802023809
no_action,4.000000000004e-6,,413.63041736181697,1.8672541330529
no_action,0.011618000000000017,,435.24946684722926,3.663105468862617
no_action,0.009414999999999951,,424.1585763979626,3.608747530067084
strengthen,0.04649899976347763,,429.81821438486844,4.880225512267623
strengthen,0.05705399940959366,,431.0187780925593,5.138557807240076
no_action,6.60000000000105e-5,,427.61532413243697,2.44712711053583
no_action,2.4000000000024002e-5,,429.6808922639517,2.2206981423627528
no_action,5.3999999999998494e-5,,401.3112590364148,2.3968576238246295
no_action,0.0,,402.2917373506111,1.0
strengthen,0.04445699983194103,,425.74776156069726,4.813021740741614
no_action,0.00024199999999996447,,411.259449689769,2.780745472684511
strengthen,0.035660000126883376,,453.224205413948,4.074073151176085
strengthen,0.03570300012544171,,422.2031030302953,4.092179155833305
no_action,4.000000000004e-6,,410.6193957141252,1.8656982107702684
no_action,7.599999999996498e-5,,435.39293853193965,2.482489391094664
no_action,0.02802300000000002,,440.145027909159,3.938512832520713
no_action,0.0,,401.83107889332314,1.0
no_action,0.0,,417.97193831745943,1.0323698043048806
no_action,1.0000000000287557e-6,,415.92841213074774,1.60173169128185
no_action,6.999999999979245e-6,,409.07140423027465,1.929311325695127
no_action,1.7000000000044757e-5,,419.7851307449058,2.16012795486993
no_action,7.299999999998974e-5,,408.3647403049501,2.468479700298262
no_action,1.0000000000287557e-6,,422.4049498786189,1.4989174676491241
no_action,0.023119,,414.27074579086866,3.8699685126951553
no_action,0.028051000000000048,,433.64463310216644,3.938947860925813
no_action,0.0028169999999999584,,430.1010113656673,3.345994517826225
no_action,0.006580999999999948,,426.56945606143506,3.5238974931935743
no_action,0.00012100000000003774,,414.0634386683908,2.593360955912227
no_action,0.0,,428.60035744361187,1.0267185427907313
no_action,1.7000000000044757e-5,,423.9967457461755,2.1446489234923605
no_action,0.0006300000000000194,,418.10033273687884,3.0420817772605826
no_action,1.2000000000012001e-5,,417.85230311828553,2.082367517949461
no_action,1.0000000000287557e-6,,403.9827610807126,1.394800540347506
no_action,1.0000000000287557e-6,,406.81179326198657,1.439792513677767
no_action,0.0,,407.3785616986505,1.2003706711188558
no_action,1.0000000000287557e-6,,407.4176336468789,1.4760292963952975
no_action,0.010485999999999995,,440.0471353792514,3.6357942472994202
no_action,0.0002969999999999917,,428.1434695747377,2.8415869021807545
no_action,0.0017179999999999973,,423.84360663700005,3.2489677085705653
no_action,0.0,,417.80027398386954,1.1866012887970059
no_action,0.0,,402.6023288343786,1.0
no_action,0.0,,408.54668068757314,1.0
no_action,2.599999999997049e-5,,430.87191632960054,2.2630189457824863
no_action,0.0,,418.3907723178596,1.0
replace,0.08500000089406967,,435.3314787682539,6.535891094813891
no_action,0.0,,403.44561854739186,1.0
replace,0.08500000089406967,,433.89229072168075,5.811140976579821
no_action,0.00013799999999997148,,417.617676027281,2.6318931059862805
no_action,0.004426999999999959,,422.0680403820685,3.434916183235449
no_action,1.7000000000044757e-5,,428.35705926750035,2.145526377622066
replace,0.08500000089406967,,445.8299190980952,7.702487416595987
replace,0.08500000089406967,,429.4187171027304,5.588258401898651
strengthen,0.054234999504107984,,449.9741080548775,5.079195643745039
no_action,0.010116000000000014,,412.8603114327184,3.6272087628174865
no_action,0.0,,409.8029591105385,1.0
strengthen,0.03704500008044761,,422.854299398821,4.379425812705083
no_action,0.0,,418.0811108319126,1.0121776078756954
no_action,0.00019000000000002348,,418.49407916367386,2.7146636295182094
no_action,0.0014769999999999506,,413.15485586918015,3.2223339437744905
no_action,0.0008599999999999719,,435.60075814773154,3.114429385168348
strengthen,0.04955999966084959,,415.5790543409248,4.96749704278833
